,product_id
0,5712790
1,5764655
2,4958
3,5848413
4,5824148
5,5773361
6,5629988
7,5807805
8,5588608
9,5335
10,5755170
11,5650294
12,5692261
13,5798929
14,5694628
15,5761411
16,5817779
17,5832416
18,5706778
19,5904369
20,5881896
21,5742926
22,5600449
23,5614842
24,5666749
25,5847872
26,5862564
27,5732026
28,5795703
29,5859489
30,5700046
31,5810157
32,5899850
33,5862313
34,5772301
35,5817700
36,5798924
37,5695827
38,5590822
39,5800015
40,72433
41,5693501
42,5808510
43,5830545
44,5839671
45,5859482
46,5860196
47,5830501
48,5826809
49,5904747
50,5732028
51,5771114
52,5809894
53,5744424
54,5742717
55,5744425
56,5852392
57,5836528
58,5819251
59,5819241
60,5788779
61,5884577
62,5899853
63,5884031
64,5765554
65,5884014
66,5655060
67,5884285
68,5844670
69,5752488
70,5884071
71,5700843
72,5884086
73,5797799
74,5567936
75,5797800
76,5839635
77,5855507
78,5869134
79,5904253
80,5848387
81,5884237
82,5818467
83,5794157
84,5618215
85,5833325
86,5696895
87,5833330
88,5833326
89,3978
90,5764656
91,5809616
92,5818473
93,5740530
94,5884578
95,5818359
96,5901627
97,5837618
98,5754991
99,5786619
100,5848901
101,5906118
102,5816169
103,5818477
104,5550690
105,5852352
106,5736365
107,5818468
108,5908193
109,5908186
110,5685798
111,5908219
112,5819125
113,5908180
114,5904271
115,5808174
116,5803519
117,5900616
118,5550688
119,5855089
120,5722502
121,5817138
122,5904256
123,5799881
124,5678218
125,5904251
126,5906108
127,5908217
128,5804374
129,5877488
130,5900636
131,5747361
132,5903972
133,5894351
134,5861279
135,5842090
136,5842091
137,5809912
138,5847361
139,5908214
140,5818396
141,5908228
142,5866174
143,5823666
144,5908194
145,5847364
146,6537
147,5804463
148,5847372
149,5816574
150,5839650
151,5747357
152,5814046
153,5839652
154,5879293
155,5717245
156,5839656
157,5885387
158,5906096
159,5871014
160,5907880
161,5908188
162,5882781
163,5037
164,5903984
165,5862943
166,5862936
167,5843750
168,5813496
169,5865799
170,5907846
171,5813494
172,5907871
173,5908185
174,5908195
175,5859407
176,5908236
177,5840113
178,5686977
179,5867992
180,5687123
181,5649107
182,5839658
183,5795346
184,5908229
185,5850281
186,5649154
187,5908746
188,5800968
189,5687131
190,5801327
191,5655062
192,5885380
193,5900351
194,5908197
195,5866158
196,5746848
197,5907851
198,4645
199,5853695
200,5907856
201,5808300
202,5859419
203,5838935
204,5862274
205,5908747
206,4751
207,5853696
208,5801308
209,5802649
210,5809911
211,5838938
212,5853697
213,5809857
214,5790687
215,5687130
216,5800789
217,5887055
218,5265
219,5894906
220,5906100
221,5894907
222,5276
223,5907840
224,5894905
225,5794067
226,5896413
227,5894913
228,5889904
229,5322
230,5862295
231,5894910
232,5894920
233,5686978
234,5894916
235,5894908
236,5700088
237,5625247
238,5794066
239,5894918
240,5906102
241,5894917
242,5900361
243,5687124
244,5894911
245,5664161
246,5794058
247,5908210
248,5809869
249,5904791
250,5884258
251,5899363
252,5907878
253,5714919
254,5839651
255,5809910
256,34767
257,5820774
258,5809545
259,34768
260,83872
261,5714912
262,5657303
263,37449
264,5843639
265,5841293
266,5735080
267,5907874
268,5908239
269,41963
270,5859336
271,5906116
272,4640
273,4554
274,4607
275,10091
276,5817680
277,4870
278,4820
279,5843642
280,4689
281,5550700
282,5763238
283,5597376
284,5885379
285,5733776
286,5907873
287,5877603
288,5810673
289,5889902
290,4768
291,5674744
292,4600
293,5587760
294,5820776
295,5587768
296,5907837
297,5820777
298,5848200
299,5907852
300,5884234
301,5833332
302,5870111
303,5550162
304,5762834
305,5691022
306,5561044
307,5628029
308,5843571
309,5833322
310,5739901
311,5843567
312,5900282
313,5642358
314,5848406
315,5643941
316,5843577
317,5908201
318,5904330
319,5877387
320,5885416
321,5643943
322,5736351
323,5807866
324,5843573
325,5745715
326,5858606
327,5855332
328,5848418
329,5848417
330,5843557
331,5854897
332,4497
333,5742927
334,5692914
335,5870987
336,5896457
337,5854288
338,5904751
339,5887965
340,5877601
341,5848198
342,5870865
343,5848430
344,5809261
345,39956
346,5734586
347,5811642
348,5833327
349,5601887
350,5785144
351,5858911
352,5877597
353,5797787
354,5697350
355,5870867
356,5308
357,5797786
358,5885415
359,5797788
360,5778930
361,5777440
362,5895883
363,5918
364,5870372
365,5760529
366,5859327
367,5639735
368,5687470
369,5862324
370,5906103
371,5866164
372,5904302
373,5792799
374,5792812
375,5212
376,5649084
377,5706474
378,5773346
379,5686226
380,5877610
381,5756097
382,5889907
383,5778931
384,5907864
385,5904500
386,5904789
387,5699770
388,5845196
389,5899367
390,4938
391,5728186
392,5820781
393,5907854
394,5848332
395,5902103
396,5256
397,5887004
398,5873616
399,5649244
400,5725945
401,5887014
402,5899364
403,5862268
404,5903958
405,5904288
406,5302
407,4967
408,5848898
409,5885385
410,5884257
411,5820072
412,5903723
413,5900630
414,4997
415,5848340
416,5734497
417,6500
418,5901661
419,5848412
420,5904736
421,4905
422,5313
423,5837126
424,5904498
425,5907876
426,5907866
427,5908189
428,5907841
429,5678163
430,5830937
431,5807747
432,42184
433,5734757
434,5817702
435,5907839
436,5904796
437,5904802
438,5904753
439,5649272
440,5759997
441,5650627
442,5787135
443,5836492
444,5836493
445,5836494
446,5836495
447,5836500
448,5836501
449,5836504
450,5836519
451,5836527
452,5841090
453,5763416
454,5865168
455,5904704
456,5904365
457,5904366
458,5831615
459,5816177
460,5723225
461,5657781
462,5904367
463,5904292
464,5759240
465,5904291
466,5904279
467,5904276
468,5542
469,5700867
470,5815633
471,5856945
472,41392
473,5696149
474,5528035
475,5904273
476,5696173
477,5904274
478,5853627
479,5904275
480,5816178
481,5628027
482,5536916
483,5681705
484,5843547
485,5843548
486,5843549
487,5826711
488,5745714
489,5819635
490,5670337
491,5568210
492,5904252
493,5877493
494,5823968
495,5903996
496,5903993
497,5786549
498,5903978
499,5903964
500,5766982
501,5903955
502,5843949
503,5903954
504,5903942
505,5903940
506,5903797
507,5304
508,5903770
509,5790561
510,5903762
511,5816170
512,3774
513,5885597
514,5859470
515,5903750
516,5826000
517,5854832
518,5627740
519,5765144
520,5698369
521,5775410
522,5692613
523,5854903
524,5627748
525,5835915
526,5854814
527,5802134
528,5813146
529,5692279
530,5835916
531,5835923
532,5775409
533,5885594
534,5835917
535,5621739
536,5765145
537,5775411
538,37627
539,5835920
540,5885595
541,5775408
542,5786770
543,5813147
544,5736061
545,6626
546,5333
547,5820779
548,5820783
549,5820785
550,5820787
551,5774248
552,5798928
553,5881766
554,5610854
555,5893835
556,5882605
557,5670333
558,5705002
559,5750301
560,5774857
561,5784982
562,5809280
563,5790563
564,5870618
565,5770385
566,5884342
567,5893714
568,5695944
569,5695950
570,5561284
571,5695951
572,5894125
573,5803695
574,5571134
575,5816166
576,5835924
577,5695952
578,5859402
579,5657304
580,5839667
581,5716844
582,5744200
583,5699794
584,5655255
585,5749145
586,5881425
587,5703538
588,5803689
589,5810078
590,5710094
591,5815137
592,5885376
593,5895616
594,5882393
595,37504
596,5550016
597,5867106
598,5881873
599,5744419
600,5760763
601,5556134
602,5681609
603,5809871
604,5800299
605,5881920
606,5884247
607,5698608
608,5892179
609,5813141
610,5835921
611,5889300
612,60001
613,5844300
614,5839286
615,5786771
616,5861411
617,5723513
618,5887023
619,5825922
620,5887765
621,5803516
622,5802128
623,5786773
624,5732039
625,5835922
626,5861341
627,5775407
628,5786768
629,5739097
630,5825552
631,5907857
632,5908233
633,5907855
634,5887026
635,5908216
636,5907838
637,5819114
638,5845267
639,5870838
640,5889482
641,5851105
642,5851103
643,5802131
644,5756367
645,5836837
646,5769877
647,5839287
648,5809211
649,5798922
650,34733
651,5859081
652,5851104
653,5886339
654,5784915
655,5852386
656,5802410
657,5802408
658,5864599
659,5802419
660,5767378
661,5799053
662,5809288
663,5857332
664,5738762
665,5756368
666,5700076
667,5769912
668,5802416
669,5844305
670,5815634
671,5770031
672,5885431
673,5885434
674,5809295
675,5769899
676,5845409
677,5824590
678,5885442
679,5885435
680,5800025
681,5645062
682,5810084
683,5800027
684,5800024
685,5854827
686,5769898
687,5850320
688,5867617
689,5779238
690,6186
691,5907836
692,5752164
693,5861591
694,5852388
695,5845327
696,30194
697,82253
698,5696152
699,5852385
700,5770042
701,5730402
702,5770040
703,5549842
704,5677456
705,5844303
706,5856773
707,5600451
708,5659680
709,5661275
710,5677426
711,5815662
712,5570736
713,5773605
714,5661276
715,5760789
716,5705001
717,5899831
718,5823646
719,5661277
720,5704995
721,5764750
722,5723518
723,5661283
724,5862559
725,5661284
726,5649219
727,5770135
728,5723462
729,5661292
730,5723488
731,47610
732,5895635
733,5677236
734,5677604
735,5692917
736,5680395
737,5876207
738,5745313
739,5873234
